FoodID,FoodName,ServingSize,Carbs(g),Fat(g),Protein(g),Total Calories(Cal),Category,Ingredients,Image,Type,Veg_NonVeg
68,Polos Curry,200g,25,5,3,180,Sri Lankan,"Young jackfruit, boiled and cut into pieces
Onions, thinly sliced
Garlic, minced
Ginger, grated
Green chilies, slit
Curry leaves
Turmeric powder
Chili powder (optional, for spiciness)
Coconut milk
Tamarind paste or tamarind water
Salt
Cooking oil","https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_800/https://foodcnr.com/wp-content/uploads/2012/11/Sri-Lankan-Polos-Curry-Recipe.jpg",Dinner,Veg
69, Pol Sambol,15g,2,4,1,45,Sri Lankan,"Freshly grated coconut
Red onions, finely chopped
Dried red chilies, soaked in water
Chili powder (optional, for extra spiciness)
Lime or lemon juice
Salt","https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_768/https://www.topsrilankanrecipe.com/wp-content/uploads/2017/11/7a-2-768x576.jpg",Side Dish,Veg
70,Indi Appa,5 hoppers,25,3,3,175,Sri Lankan,"Rice flour
Water
Salt
Cooking oil","https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_720/https://foodcnr.com/wp-content/uploads/2011/07/indi-appa.jpg", Breakfast,Veg
71,Mishti Doi,200g,30,10,5,250,Bengali,"Milk
Yogurt culture or a small amount of yogurt as a starter
Sugar
Cardamom powder",https://bakewithshivesh.com/wp-content/uploads/2023/04/mishti-doi-800x1200.jpg, Dessert,Veg
72,Aloo Posto,200g,30,10,5,250,Bengali,"Potatoes, peeled and cubed
Poppy seeds (posto)
Green chilies
Mustard oil
Turmeric powder
Salt",https://i0.wp.com/onewholesomemeal.com/wp-content/uploads/2020/03/Aaloo-Posto-1.jpg?w=864&ssl=1,Dinner,Veg
73,Shorshe Illish,100g,2g,20,25,300,Bengali,"Hilsa fish steaks or fillets
Mustard seeds
Green chilies
Mustard oil
Turmeric powder
Salt",https://rumkisgoldenspoon.com/wp-content/uploads/2021/08/Shorshe-ilish.jpg,Dinner,Non-Veg
74,Koshan Mangsho,200g,10,25,30,400,Bengali,"Mutton, cut into pieces
Onions, thinly sliced
Ginger-garlic paste
Yogurt
Mustard oil
Whole garam masala (cinnamon, cloves, cardamom, bay leaf)
Ground spices (coriander powder, cumin powder, turmeric powder, chili powder)
Salt",https://kitchenofdebjani.com/wp-content/uploads/2022/09/Bengali-Kosha-Mangsho-Recipe-Debjanir-Rannaghar-768x768.jpg, Dinner,Veg
75,Bhapa Doi,100g,3,12,20,220,Bengali,"Condensed milk
Greek yogurt or hung curd
Cardamom powder
Saffron strands (optional)
Chopped nuts (almonds, pistachios) for garnish",https://www.palatesdesire.com/wp-content/uploads/2022/09/bhapa-doi-recipe@palates-desire-5.jpg,Dessert,Veg
76,Dal Makhani,240g,30,10,10,240,Indian,"Whole black lentils (urad dal)
Red kidney beans (rajma)
Onions, finely chopped
Tomatoes, finely chopped
Ginger-garlic paste
Green chilies, finely chopped
Butter
Cream
Ground spices (coriander powder, cumin powder, garam masala)
Salt",https://www.funfoodfrolic.com/wp-content/uploads/2023/04/Dal-Makhani-1.jpg,Dinner,Veg
77,Palak Paneer,240g,10,15,15,250,Indian,"Spinach, blanched and pureed
Paneer (cottage cheese), cubed
Onions, finely chopped
Tomatoes, finely chopped
Ginger-garlic paste
Green chilies, finely chopped
Garam masala
Turmeric powder
Cumin powder
Cream or yogurt
Salt
Ghee or butter",https://shwetainthekitchen.com/wp-content/uploads/2023/02/Palak-paneer-768x1152.jpg,Dinner,Veg
78,Masala Dosa,100g,60,10,5,340,Indian,"For the dosa batter:

Rice (parboiled or raw)
Urad dal (black gram dal)
Fenugreek seeds
Salt
Water
For the potato filling:

Potatoes, boiled and mashed
Onions, finely chopped
Green chilies, finely chopped
Mustard seeds
Cumin seeds
Turmeric powder
Curry leaves
Salt
Cooking oil",https://vismaifood.com/storage/app/uploads/public/45a/29b/a17/thumb__700_0_0_0_auto.jpg,Breakfast,Veg
79,Rasgulla,30g,15,0,1,80,Indian,"Paneer (cottage cheese) or chhena
Sugar
Water
Cardamom pods
Rose water (optional)",https://cdn.ready-market.com/101/21cd62de//Templates/pic/ANKO-Rasgulla-1.jpg?v=bc8810b4,Dessert,Veg
80,Chicken Tikka Masala,240g,15,15,30,400,Indian,"For the chicken marinade:

Chicken, cut into pieces
Yogurt
Ginger-garlic paste
Ground spices (cumin powder, coriander powder, garam masala, turmeric powder, chili powder)
Lemon juice
Salt
For the tomato-cream sauce:

Tomatoes, pureed
Onions, finely chopped
Ginger-garlic paste
Green chilies, finely chopped
Fresh cream
Ground spices (cumin powder, coriander powder, garam masala)
Kasuri methi (dried fenugreek leaves)
Salt
Cooking oil or ghee",https://www.seriouseats.com/thmb/AKv7r-Xt2anoVvsn0WpLqUehNzU=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/chicken-tikka-masala-for-the-grill-recipe-hero-2_1-cb493f49e30140efbffec162d5f2d1d7.JPG, Dinner,Veg
81,Pani Puri,50g,25,10,5,200,Indian,"Puris (small, crispy hollow balls)
Potato, boiled and mashed
Chickpeas, boiled
Tamarind chutney
Green chutney (coriander and mint chutney)
Spiced water (pani) - made with mint, tamarind, coriander, and spices
Chaat masala
Sev (crunchy chickpea flour noodles)",https://myvegetarianroots.com/ezoimgfmt/i0.wp.com/myvegetarianroots.com/wp-content/uploads/2020/03/DSC_0215.jpeg?resize=768%2C514&ssl=1&ezimgfmt=ngcb1/notWebP,Snack,Veg
82,Vada Pav,150g,40,10,5,300,Indian,"For the vada (potato fritter):

Potatoes, boiled and mashed
Ginger-garlic paste
Green chilies, finely chopped
Curry leaves, chopped
Mustard seeds
Turmeric powder
Gram flour (besan)
Salt
Cooking oil
For the pav (bread rolls):

Pav (soft bread rolls)
Butter",https://www.cookwithmanali.com/wp-content/uploads/2018/04/Vada-Pav.jpg,Snack,Veg
83,Jalebi,100g,50,10,2,350,Indian,"All-purpose flour (maida)
Yogurt
Baking powder
Saffron strands (for color and flavor)
Ghee or cooking oil (for frying)
Sugar syrup (made with sugar, water, and cardamom)",https://www.cookwithmanali.com/wp-content/uploads/2016/10/Homemade-Jalebi.jpg, Dessert,Veg
84,Bhel Puri,100g,30,10,5,200,Indian,"Puffed rice (murmura or mamra)
Sev (crunchy chickpea flour noodles)
Chopped onions
Chopped tomatoes
Chopped boiled potatoes
Chopped green chilies
Tamarind chutney
Green chutney (coriander and mint chutney)
Chaat masala
Fresh coriander leaves
Lemon juice
Salt",https://www.indianveggiedelight.com/wp-content/uploads/2022/08/bhel-puri-new-768x1024.jpg,Snack,Veg
85,Dahi Puri,100g,25,10,3,200,Indian,"Puris (small, crispy hollow balls)
Potato, boiled and mashed
Chickpeas, boiled
Tamarind chutney
Green chutney (coriander and mint chutney)
Thick yogurt
Chaat masala
Sev (crunchy chickpea flour noodles)",https://ministryofcurry.com/wp-content/uploads/2022/07/Dahi-Puri_-4-1-850x1275.jpg,Snack,Veg
86,Raita,1 cup,6,4,4,80,Indian,"Yogurt
Cucumber, grated or chopped
Tomatoes, chopped
Onions, finely chopped
Mint leaves, chopped
Cumin powder
Chaat masala
Salt",https://www.indianveggiedelight.com/wp-content/uploads/2022/12/cucumber-raita-recipe-768x1024.jpg,Side Dish,Veg
87,Bhindi Masala,1 cup,10,5,3,100,Indian,"Bhindi (okra), washed and dried
Onions, thinly sliced
Tomatoes, chopped
Ginger-garlic paste
Green chilies, chopped
Turmeric powder
Red chili powder
Ground coriander
Garam masala
Amchur (dried mango powder)
Salt
Cooking oil",https://ministryofcurry.com/wp-content/uploads/2020/12/Bhindi-Masala-4-850x1275.jpg,Dinner,Veg
88,Moong Dal Khichdi,1 cup,40,6,10,250,Indian,"Moong dal (yellow split lentils)
Rice
Ghee or cooking oil
Cumin seeds
Asafoetida (hing)
Turmeric powder
Ginger, grated
Green chilies, chopped
Chopped vegetables (carrots, peas, beans - optional)
Salt
Water",https://www.cookwithmanali.com/wp-content/uploads/2016/04/Moong-Dal-Khichdi.jpg,Dinner,Veg
89,Vegetable Soup,1 cup,15,2,4,100,Indian,"Assorted vegetables (carrots, potatoes, peas, beans, corn, etc.)
Onions, chopped
Garlic, minced
Ginger, grated
Vegetable broth or water
Tomato puree or chopped tomatoes
Bay leaf
Black pepper
Salt
Butter or cooking oil",https://thecozyapron.com/wp-content/uploads/2018/07/vegetable-soup_thecozyapron_1.jpg,Dinner,Veg
90,Bhatmas Sadeko,50g,10,5,10,95,Nepali,"Soybeans (bhatmas)
Onions, finely chopped
Tomatoes, chopped
Green chilies, chopped
Fresh coriander leaves, chopped
Ginger, grated
Mustard oil
Lemon juice
Ground spices (timur, cumin powder, coriander powder, red chili powder)
Salt",https://i0.wp.com/utsav360.com/wp-content/uploads/2019/08/Bhatmas-Sadeko.jpg?w=564&ssl=1,Snack,Veg
91,Baingan Bharta,150g,12,10,3,150,Indian,"Eggplant (baigan)
Onions, finely chopped
Tomatoes, chopped
Green chilies, chopped
Ginger-garlic paste
Cumin seeds
Mustard oil
Turmeric powder
Red chili powder
Ground coriander
Garam masala
Fresh coriander leaves
Salt",https://www.teaforturmeric.com/wp-content/uploads/2016/12/Baingan-Bharta-3-768x1152.jpg,Dinner,Veg
92,Tofu Bhurji,200g,10,12,15,200,Indian,"Tofu, crumbled
Onions, finely chopped
Tomatoes, chopped
Green chilies, chopped
Ginger-garlic paste
Cumin seeds
Turmeric powder
Red chili powder
Ground coriander
Garam masala
Fresh coriander leaves
Salt",https://www.indianveggiedelight.com/wp-content/uploads/2022/04/tofu-bhurji-768x1024.jpg,Dinner,Veg
93,Samay Baji,1 plate,80,15,10,500,Nepali,"Beaten rice (chiura or chiwra)
Black soybeans (bodi)
Fried potatoes
Roasted meat (usually buffalo or pork)
Boiled eggs
Pickles (achar)
Yogurt (dahi)
Green leafy vegetables
Ginger, grated
Fresh coriander leaves
Spiced meat (choela)
Chutney (usually sesame or tomato-based)",https://static.finmail.com/wp-content/uploads/2021/03/23142517/1-5.jpg, Snack,Non-Veg
94,Bara Baji,1 plate,60,15,8,400,Nepali,"All-purpose flour
Rice flour
Semolina (suji)
Sugar
Baking powder
Fennel seeds
Water
Cooking oil (for frying)",https://blog.foodmandu.com/wp-content/uploads/2016/07/13177220_1341600092536043_5380185982992197136_n.jpg,Snack,Veg
95,Juju Dhau,150g,30,5,8,200,Nepali,"Milk
Yogurt culture or a small amount of yogurt as a starter
Sugar
Cardamom powder",https://scontent.fktm6-1.fna.fbcdn.net/v/t1.6435-9/31948410_1713194978773093_5660475053100236800_n.jpg?stp=dst-jpg_s1080x2048&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=eZfa89b_Y4MAX8UxhwS&_nc_ht=scontent.fktm6-1.fna&oh=00_AfAhBJY5ZUAZ4YY3-2Qwm9MV8vp0chAwDw7SqbnAqcSDUw&oe=64F5753D,Dessert,Veg
96,Sanya Khuna,200g,25,5,15,200,Nepali,"Meat (buffalo or pork), cut into pieces
Onions, finely chopped
Ginger-garlic paste
Turmeric powder
Red chili powder
Ground coriander
Garam masala
Fresh coriander leaves
Salt
Cooking oil",https://i0.wp.com/recipenp.com/wp-content/uploads/2020/06/takha-2.jpg?w=640&ssl=1, Dessert,Non-Veg
97,Ghonghi,100g,2,1,16,80,Nepali,"Fresh or frozen snails
Onions, finely chopped
Tomatoes, chopped
Ginger-garlic paste
Green chilies, chopped
Turmeric powder
Red chili powder
Ground cumin
Ground coriander
Garam masala
Fresh coriander leaves, chopped
Cooking oil
Salt to taste",https://pbs.twimg.com/media/E9pn7MnUUAM3sqp?format=jpg&name=900x900,Dinner,Non-Veg
98,Sargemba,200g,30,1,2,120,Nepali,"Barley grains
Water
Yeast
Jaggery or sugar",https://www.thegundruk.com/wp-content/uploads/2016/07/Sargemba-300x225.jpg,Dinner,Veg
99,Gulab Jamun,50g,25,10,2,150,Nepali,"Khoya (milk solids) or milk powder
All-purpose flour
Baking powder
Ghee or cooking oil (for frying)
Sugar
Water
Saffron strands
Cardamom pods
Rose water (optional)",https://www.spiceupthecurry.com/wp-content/uploads/2020/08/gulab-jamun-recipe-1-1024x1536.jpg,Dessert,Veg
100,Gajar Halwa,100g,40,10,2,250,Nepali,"Carrots, grated
Milk
Ghee or cooking oil
Sugar
Cardamom powder
Chopped nuts (almonds, pistachios) for garnish",https://www.vegrecipesofindia.com/wp-content/uploads/2021/11/gajar-ka-halwa-1-736x1013.jpg,Dessert,Veg
